style,files
.header,backend/api.py;frontend/src/App.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/components/DatabaseControls/DatabaseControls.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/Header/Header.tsx;frontend/src/components/common/AccordionSection.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/services/GrammarService.ts;frontend/src/services/GraphService.ts;frontend/src/services/LLMService.ts;frontend/src/styles/global.css
.header-area,frontend/src/styles/global.css
.header-container,frontend/src/styles/global.css
.header-content,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.header-controls,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.header-toolbar,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.toolbar-button,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.tool-palette,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.tool-button,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.id-text,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.link,backend/grammar_manager.py;backend/grammartypes/narragrammar.json;backend/narragrammar.json;frontend/src/App.tsx;frontend/src/Graph.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css;frontend/src/types/graph.ts
.link-group,frontend/src/Graph.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.link-hitbox,frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.link-label,frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.link-path,frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.list-selection-indicator,frontend/src/styles/global.css
.loading,backend/ontology_loader.py;backend/test_ontology_loader.py;frontend/src/App.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/services/SchemaService.ts;frontend/src/styles/global.css
.median-line,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.modal-overlay,frontend/src/components/common/ConfirmDialog.tsx;frontend/src/styles/global.css
.no-nodes-message,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.node,README.md;backend/analysis.py;backend/api.py;backend/database.py;backend/expander.py;backend/grammartypes/holochron_ontology.json;backend/grammartypes/narragrammar.json;backend/grammartypes/ontology_spec.json;backend/graph_grammar.py;backend/graph_statistics.py;backend/holochron_ontology.json;backend/llm.py;backend/llm_models.py;backend/models.py;backend/narragrammar.json;backend/ontology_loader.py;backend/ontology_spec.json;backend/statistical_analyzer.py;backend/test_ontology_loader.py;docs/api.md;docs/architecture.md;docs/node_edit_for_users.md;frontend/src/App.tsx;frontend/src/Graph.tsx;frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/ContextPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/views/NodeView/NodeView.tsx;frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/services/GraphService.ts;frontend/src/services/LLMService.ts;frontend/src/services/SchemaService.ts;frontend/src/services/__tests__/GraphService.test.ts;frontend/src/services/__tests__/SchemaService.test.ts;frontend/src/styles/global.css;frontend/src/types/Direction.ts;frontend/src/types/graph.ts;frontend/src/utils/__tests__/nodeColors.test.ts
.node-actions,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/styles/global.css
.node-connection,frontend/src/styles/global.css
.node-connection-name,frontend/src/styles/global.css
.node-connection-type,frontend/src/styles/global.css
.node-context-label,frontend/src/styles/global.css
.node-description,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
